word,definition
آذريون,(الآذَرْيون): نبات زهري خريفي، زهره أصفر أو أحمر ذهبيّ في وسطه خَمْل أسود، وهو من فصيلة المركَّبات الأنبوبية، من جنس كاندولا. (مع).
آس,(الآس): شجر دائم الخضرة، بيضي الورق، أبيض الزهر أو ورديّه، عطري، وثماره لبية سُود تؤكل غضة، وتجفَّف فتكون من التوابل. وهو من فصيلة الآسيات. و- ورقة من ورق اللعب ذات نقطة واحدة. (د)
آسيا,(آسيا): (انظر: أسى).
آل,(آل): (انظر: أول).
آمين,(آمين): لفظ يقال عقب الدعاء، يراد به: اللهم استجب.
آنسون,(الآنِسون): نبات حوليّ، زهره صغير أبيض، وثمره حب طيب الرائحة، يُستعمل في أغراض طبية.
آنك,(الآنُك): الرصاص الأسود.
آيين,(الآيين): العادة. و- العُرف المتبع في جماعة من الناس. (مع).
أبأ,(أبأه) بسهم -َ أبْئا: رماه به.
أباء,(الأَباء): القصب. ; (الأَباءة): واحدة الأَباء. و- أجمة القصب.
أب,(أَبَّ) للسير -ُ أَبًّا، وأبَابًا: تَهَيَّأَ وتجهَّز. و- إليه: اشتاق ونَزَع. و- على أعدائه: حَمَل عليهم حَمْلة صَادقة. ويُقال: أَبَّتْ أبَابةُ الشيْءِ: استقامت طريقته. و- الشيءَ أَبًّا: قَصَدَه. ويقال: أَبَّ أَبَّهُ: قصَد قَصْدَه. و- يَدَه إلى سيفه: ردَّها ليستلّه. ; (اِئْتَبَّ) له: أَبَّ. ; (اسْتَأَبَّ) فلانا: اتخذه أَبًا، وانتسب إليه.(انظر: أبو). ; (تأَبَّبَ به): فخَر به. ; (الأَبابُ): الماءُ الكثير. ; (الأُبابة): داءٌ يصيب الغريب، وهو شدة حنينه إلى وطنه. (مج). ; (الأبُّ): العُشْب رَطبه ويابسه. وفي التنزيل العزيز: وفَاكِهَةً وَأبًّا. وتقول: فلان راعَ له الحَبُّ، وطاع له الأّبُّ: زكا زرعه.، واتسع مَرْعاه. و- لغة في (الأَبِ). و- علف الحيوان. ; (إبّانَ) الشَّيْء: أَوانُه، ويغلب استعماله مضافًا، مثل: إبّان الفاكهة. (انظر: أبن). ; (أَبِيبُ): الشهر الحادي عشرَ من السنة القِبْطِية، ويقابله شهر نوفمبر من السنة الميلادية.
أبت,(أَبِتَ) اليومَ -َ أَبَتًا: اشتد حرّه، فهو أَبِتٌ. ; (المَأْبُوت): المَحْرور.
أبجد,"(أَبجد): أول الألفاظ الستّة: (أَبجد، هَوَّز، حُطِّي، كَلَمُن، سَعَفَصْ، قَرَشَتْ) التي جُمِعَت فيها حروف الهجاء، بترتيبها عند السَّاميّين، قبل أَن يرتبها "" نَصْر بن عاصم اللَّيثيّ"" الترتيبَ المعروفَ الآن. أما (ثَخَذ وضَظَغ) فحروفها من أَبجدية اللغة العربية. وتسمى الروادف. وتستعمل الأَبجدية في حساب الجُمل على الوضع التالي: أ ب ج د هـ و ز ح ط ي ك ل م ن س ع ف ص ق رش ت ث خ ذ ض ظ غ والمغاربة يخالفون في ترتيب الألفاظ التي بعد: كلمن، فيجعلونها: صعفض، قرست، ثخذ، ظغش. (انظر: حساب الجمَّل)."
أبد,"(أبَدَ) -ُ أُبودَا: توحّش وانقطع عن الناس. و- الشاعرُ ونحوه: أَتى بالعويص في شعره. و- فُلانٌ بالمكان: أَقام به ولم يَبْرَح. ; (أبِدَ) -َ أبَدًا: توحّش، فهو أبِدٌ. و- عليه: غَضِبَ. ; (أبَّدَ) الشيءَ: خَلَّده. ; (تأَبَّدَ): تَوَحّش. و- المكانُ: أقفر وخلا من الأنيس. و- الشَيءُ: بقِيَ أبدًا طويلا. و- الرجُلُ: طالت عُزْبَتُه وقَلَّ أَرَبُه في النساء. ; (الآبِدَةُ): الأمر العجيب يُسْتغرب له. و- الداهية يبقى ذكرها أبدًا. (ج) أَوابد. وأَوابد الكلام: غرائبه وعجائبه. وأوابدُ الطير: التي تقيم بأَرضها شتاءها وصَيفَها. وأوابد الوحش: التي توحّشت ونَفَرت من الإِنس. ويقال: فَرَسٌ قَيْدُ الأَوابد: يقيَّد طريدته لسرعته، فلا تُفْلِت منه. ; (الأَبَدُ): الدهر. (ج) آباد، وأُبود. ويقال: لا أفعل ذلك أبَدَ الآَبدين، وأبدَ الآباد: مدى الدهر. وفي المَثَل: ""طال الأَبَدُ على لُبَد"": يُضرَبُ للشيء يُعَمَّر، ويمُرّ عليه دهرٌ طويل.(وانظر: لبد)."
أبد|أبدا,(أبَدًا): ظرف زمان للمستقبل، يستعمل مع الإثبات والنفي، ويدُل على الاستمرار، نحو: خَالِدِينَ فِيهَا أَبَدًا وقد يُقيَّد هذا الاستمرار بقرينة، نحو: إنَّا لَنْ نَدْخُلَهَا أَبَدًا ما دَامُوا فِيهَا. ; (الأَبَدِيّ): ما لا آخِرَ له. ; (الأبَدِيَّة): مصدر صنَاعيّ من الأَبد. ; (المُؤَبَّد): الحكم المؤَبَّد في القضاء: الحكم بالأَشغال الشاقَّة مدى الحياة، ويُخفَّف إلى عشرين عامًا. (محدثة).
أبر,"(أَبَرَ) النَّخلَ -ُ أَبْرًا، وإِبارًا، وإِبارةً: لَقَّحَهُ. و- الزّرعَ: أَصلحه. و- العَقربُ، والنَّحلة فلانًا: لَسَعَتْه. و- الحَيَوانَ: أَطعمه الإِبرةَ في العَلَف ليقتله. و- فلانًا آذاه واغتابه. و- بين الناس: نَمَّ. ; (أَبِرَ) الزّرعُ -َِ أَبَرًا: صَلَح، فهو أبِرٌ. ; (أَبَّرَ) النَّخلَ أَو الزرعَ: أَبَرَه. ; (ائْتَبَرَ) فلانًا: سأله أن يَأبِرَ نخلَه أو زرعَه. ; (تَأَبَّر): مطاوع أَبَّره. و- صِغارُ النخل: كَبِرت وتَهَيَّأَت للإبار. ; (الإبارة): حِرفة مَن يَأْبُر النخلَ أو الزَّرع. ; (الأبَّارُ): صَانِع الإِبَر. ; (الإبْرة): أَداةٌ أحدُ طرفيها مُحَدَّد والآخَر مثقوب، يُخاط بها. و- من العَقرب أو النحلة: ما تَلْسَع به. و- من القَرْنِ: طَرَفُهُ. و- من المِرْفَقَ: طَرَف العظم الناتئَ عند ثَنْي الذراع. (وإبرة المِحْقَن): إبرة يُغرز طَرَفها في الجسم لينفذ منها الدواءُ إليه. وإبرةُ (الفونغراف): ما تَمُرُّ على أثر الصوت المسجَّل لتعيده. (ج) إبَرٌ. ويكنى بوخْز الإبَرِ عن الإيذاء المتتابع في خِفْية. (الإبْرَةُ المِغنَطِيسيَّة): قطعة صَغيرة من الصُّلْب رقيقة، محدَّدة الطرفين، مُمَغْنَطة. (بَيْت الإِبْرَة): عُلْبَةٌ صَغيرة، بها إبرةٌ مِغْنَطِيسيَّة، تَدور على محوَر دقيق، يتَّجه رأْسُها نحو الشَّمال دائمًا، تُعرف بها الجهات. والاسم الشائع لها ""البوصَلة"". ; (الأُبُور): الطَّلْع الذي يُؤْبَر به النخلُ. (ج) أُبُر. ; (المَأْبَرُ): قِشر الطَّلع. (ج) مآبر. ; (المِئْبَرُ): الإبرة الكبيرة. و- عضو التذكير في النباتات الزَّهْرية. و- وِعاء الإبر. (ج) مَآبرُ. ; (المِئْبَرَةُ): النَّميمة. (ج) مَآَبر. يُقال: فَشَتْ لهم المآبر."
أبرا,(الأُبرا): مسرحية شعرية غنائية، تقوم على الموسيقى. (مع).
أبرشية,(الأَبْرَشِيَّة): مِنْطقة من البلاد تخضع لسلطة أَسْقُفْ. (د).
إبريز,(الإبريز): الذهب الخالص. ويقال: ذهب إبريز. القطعة منه: إبريزة. (مع).
إبريسم,(الإبْرَيْسَم): أحسن الحرير. (مع).
إبريق,(الإبريق): وعاء له أُذن وخُرطوم ينصبّ منه السائل. (ج) أباريق. (مع).
إبريل,(إبريل): الشهر الرابع من الشهور الرومية (الميلادية) يقابله (نيسان) من الشهور السريانية.
أبز,(أبَزَ) -ِ أبْزًا، وأُبوزا: وثب وقفز في عدوه.
أبزن,(الأَبزَن): حوض من المعدن ونحوه للاستحمام. (ج) أَبازنُ. (مع).
إبزيم,(الإبْزِيم): عُرْوَةٌ مَعْدِنِيَّةٌ في أحد طرَفيها لسان، تُوصَل بالحزام ونحوه للتَثْبيت طرف الحزام الآخر على الوسط. (مع).
أبس,(أبَسُه) -ِ أبْسًا: قهره. و- عابه. ; (أبَّسه): أبَسه. ; (أبيس): عجل ذو صفات خاصة جعله المصريون القدماء رمزا للقوة الحيوانية وقدسوه.
أبش,(أبَش) لأهله - أبْشا: كَسَب. و- الشيءَ: جَمَعَهُ، فهو آبِش، وأَبّاش. ; (أَبَّشَهُ): أبَشَه. ويقال: أَبّش كلامًا: جمعه أَخلاطًا من هاهنا وهاهنا. ; (تَأَبَّش): تَجمَّع. ; (الأُباشة): الأَخلاطُ من الناس.
أبص,(أبَص) -ِ أبْصا: أرِن ونشط، فهو آبِص وأبوص. ; (أبِص) -َ أبَصا: أبَص، فهو أبِص.
أبض,(أبَضَ) النَّسا - أيضًا: تَوتَّر. و- البعيرَ:. شدَّ رُسْغَ يده إلى عَضُده، لترتفع عن الأرض، فلا يسير. و- الإنسانَ ونحوه: جَمَعَ ساقيه إلى فخذيه فضمَّهُ وحمله من خلفه. ; (أَبِضَ) النَّسا - أَبَضًا: أَبَضَ. ; (تأَبَّضَ): مطاوع أَبضَه. و- النَّسا: أبَضَ. و- الذئبُ و نحوُه: أقَعَى. و- البعيرَ: أبَضَه. ; (الإباضُ): عِقال يُشَدُّ به رُسْغُ البعير إلى عَضُده وهو قائم، لترتفع يده عن الأرض فلا يسير. (ج) أُبُضَ. و- النَّسَا. ; (الإباضِيّة): فرقة من الخوارج، شاع أَمرها في أواخر الدولة الأُموية، تنسب إلى عبد الله بن إِباض التميميّ. ; (الأَبُوض) من الخيل: الشديدُ السُّرعة. (ج) أُبُض. ; (المَأبِضُ): باطِن الرُّكْبَة والمَرْفِق. (ج) مآبِضُ.
أبط,(تأَبَّط) الشيءَ: وضعه تحت إبْطِه. و- الثوبَ: أَدخله من تحت إِبْطِه الأَيمن، فأَلقاه على مَنْكِبه الأَيْسر. و- المرأَةُ الطفلَ: حَضنَتْه وتولَّت تربيته. وتَأَبَّطَ شرًّا: لقب ثابت بن جابر، عَدَّاء عربيّ جاهلي. والنِّسبة إليه: تَأَبِّطِيّ. ; (الإباط): ما يُجعل تحت الإبْطِ من ثوب أَو نحوه. (ج) أُبُط. ; (الإبط): باطن المَنْكِب والجَناح. و- ما رَقَّ من الرَّمل. و- سفح الجبل. (يذكَّر ويؤَنَّث). وإبط الزهرة: البُزُور التي تنمو بين الساق وذُنَيْبِ الورقة. (ج) آباط. وقالوا: ضَرَبَ آباطَ الأُمور: أي عَرَف بواطنها.
أبق,(أبَقَ) - أبْقًا وإباقًا: هرَب، فهو آبِقٌ وأُبُوق. ; (أَبِقَ) -َ أَبَقًا: أَبَق. ; (تَأَبَّقَ): أَبِق. و- الشيءَ ومنه: أَنكره وتَبَرَّأَ منه.
أبل,"(أَبَلَت) الإبلُ -ُ أَبْلاً، وأُبُولا: كثُرت. و- توحَّشَت. و- استغنت بالنبات الرَّطْبِ عن الماء. و- فلانٌ: كثُرت إبله. و- فلانٌ إبَالةً: أحسن رِعاية الإبل. و- الرجُلُ أَبْلا، وأَبَالة: تنسّك وترهّب. و- فلانًا أَبْلاً: جعل له إِبِلا. ; (أبِلَتِ) الإبلُ - أَبَلاً: أبَلَتْ. و- فلانٌ أبَلاً، وأَبالة، وإبَالةً: أحسن رِعايةَ الإبِل، فهو أَبِلٌ. ; (أَبُلَ) -ُ أَبالة: تَرَهَّب وتَنَسَّك، فهو أَبِيل. ; (آبَلَ) إِيبالا: كثُرت إبَلُه. ; (أَبَّلَ): آبَلَ. و- الإبلَ: اقتناها. و- سَمَّنها. ; (ائتَبَلَ): امتهن رَعْيَ الإِبل. ; (تَأَبَّلَتِ) الإِبلُ: استغنت بالنبات الرِّطْب عن الماء. و- فلانٌ الإبلَ: اقتناها. ; (الآبابيل): الجماعات، ويجيء في موضع التكثير، وفي التنزيل العزيز: وأَرْسَلَ عَلَيْهِمْ طَيْرًا أبَابِيلَ. ; (الإِبَّالَة) - وتخفف الباءُ - الحُزمة من الأعواد ونحوها. ومنه المثل: ""ضِغثٌ على إِبّالة"": عِبْءٌ على عِبْءٍ أتمّ فَدْحَه. ; (الإِبِلُ): الجمال والنُّوق، لا واحد له من لفظه (مؤنث). (ج) آبالٌ. ويقال: إِبلان، للقطيعين. ; (الأُبُلَّة): القَبِيلة. وأُبُلَّة الرجُل: أصحابه. -وبَلد قُربَ البَصْرة. ; (الأبِيل): العصا، ويُطلَق على الراهب. ; (الأبِيلة): الحُزْمة من الأعواد ونحوها. ; (المَأبَلَةُ): الموضع تقيم فيه الإبل، أو تكثر فيه. (ج) مآبل."
إبليز,(الإبليز): الطين الذي يخلّفه نهر النيل على وجه الأرض بعد ذهابه. (د).
إبليس,(إِبِليس): رأس الشياطين. و- المتمرد (ج) أباليس، وأبالِسة. (مع).
أبن,(أَبَنَ) الدمُ في الجُرح -ُِ أَبْنًا: اسود و- فلانًا: عابه ورماه بِخَلَّة سَوء. وقد أَبَنَه بخير. ; (أَبَّنَ) الشيءَ: اقتفي أَثرَه. و- الميِّت رثاه وأثْنَى عليه. يقال: هو يُقَرَّظ الأَحياءَ، ويُؤَبِّن الأموات. ; (تَأَبَّنَ) الأَثَر: اقتفاه. ; (إِبَّانُ) الشيء: أَوانه. (وانظر: أَب) ; (الابْنُ): (انظر: بنو). ; (الأُبْنة): العُقدة في العُود ونحوه. العيْب. و- الحِقد. (ج) أُبَن. ويقال بينهم أُبَن: عداوات. وفي حَسَبه أُبَن: عيوب ; (المأْبون): المُتَّهَم.
