word,definition
سبين الإلكترون,خاصية كمومية للإلكترون تعبر عن نوع من الزخم الزاوي، حيث يمكن أن يتخذ حالتين محددتين، تعدل سلوك الإلكترونات في الذرات والجزيئات. [الكيمياء الكمومية]
قياس جُداء,تحديد القيمة الناتجة من ضرب كميتين. [الجبر]
كرة محيطة,كرة تمر بجميع رؤوس مضلع متعدد الوجوه، مما يحقق الشكل المحيط [الهندسة]
مُحوِّل توليدي مُدرَّب سابقًا جي بي تي,..عائلة من النماذج اللغوية الكبيرة تعتمد على مُحوِّل
حقيقة,المعنى الجوهري الذي يدل عليه اللفظ [لغة]
المفهوم,الصورة الذهنية أو المعنى الذي يُستخلص من الكلمات، سواء وُضعت معه ألفاظ أم لا [لسانيات].
الموجودات,هي الأشياء أو الكائنات الحاضرة، وتستخدم في السياقات العامة والأكاديمية.
تبويب البيانات,عملية تقسيم البيانات الإحصائية المجمعوة إلى فئات متميزة تُدرج تحتها المفردات المتعلقة بها، تُستخدم في الإحصاء [علم النفس الإحصائي]
المصحف,الكتاب الذي يحتوي على نص القرآن الكريم، ويعتبر من المصطلحات الأساسية في علوم القرآن [علوم القرآن]
الإفلاس,أن يكون الدين الذي على الشخص أكثر من ماله، بحيث يعتبر ما لديه مستحقا لدائنه، ويفقد بذلك ملكيته. [اصطلاحا هْتَهيا]
لُغَةُ البَرَْمَجَةِ,اللغة المستخدمة لكتابة البرامج والحوسبة. [لغة]
اللغويات التوليدية,نظرية لغوية وضعها سيب في السبعينيات لدراسة كيفية خلق الجمل من بنى نحوية مختلفة [لغة]
رباعي التكافؤ,مصطلح لغوي يشير إلى عنصر يحتاج في استخدامه إلى أربعة مكونات على الأقل، وفق نظرية التكافؤ.
عِيسَى عَلَيْهِ السَّلَام,نبي من أنبياء الله، يُعتبر شخصية مركزية في العديد من الأديان. [دين]
جيوفيزيائي,مصطلح يُستخدم للدلالة على من يتخصص في الجيوفيزياء، ويُعنى بقضاياها.
حمض رباعي القاعدة,هو مركب كيميائي عديم الثبات يتكون من مجموعة فوسفاتية، ويعبر عن تركيب كيميائي متغير يتفاعل مع البيئة، وينسب إلى [الكيمياء العضوية].
الهجويري,عالم في التصوف الإسلامي، كتب عدة مؤلفات عن أحوال الصوفية [علم التصوف].
الكفر,حالة من عدم الاعتراف بالله ورسوله أو الشك في أركان الدين [عقيدة]
احتراق تلقائي,عملية تحدث عندما تشتعل المواد ذاتياً دون الحاجة إلى مصدر خارجي للحرارة، وتعتبر جزءاً من [كيمياء الحرائق].
قص تدرجي,. آلية لتقليل مشكلة انفجار التدرج عن طريق تقييد القيمة القصوى للتدرجات عند تدريب نموذج باستخدام النزول التدرجي.
المفهوم,المدلول أو المعنى المستخلص من النصوص أو الألفاظ [لغة/أصول فقه]
لأعنتكم,لأحرجكم وضيق عليكم [لغة]
شركَة التقبل,هي شركَة يشترك فيها صانعان للحصول على الأعمال مقابل أجرة بينهما، وتستخدم في سياق الفقه [فقه]
النَّفســية,الجانب المتعلق بالذهن والعواطف والسلوك، يستخدم في سياق العلوم النفسية [علم النفس]
القوة القدسية,قوة خاصة مرتبطة بالأنبياء والأولياء، تعبر عن إدراكات الغيب [فلسفة]
الصدقة,العطاء المالي أو العيني للآخرين ابتغاء ثواب الله [فقه]
الفو,تشير إلى الأشياء النافعة أو المثمرة والتي تحقق فوائد [اقتصاد]
التسبيح,تنزيه الله عن كل نقص، ويعبر عنه بألفاظ محددة مثل (سبحان الله) [دين].
كنيسة,المكان الذي يجتمع فيه المسيحيون لعبادة الله، ويمكن أيضاً أن تشير إلى جماعة من المؤمنين في المسيحية ككل [دين] أو [مؤسسة].
الأجسام الطبيعية,مصطلح يستخدمة المتصوفة، ويعبر عند أرباب الكشف عن العرش والكرسي. [التصوف]
ماءٌ مُطلَقٌ,الماءُ الباقِي على أَصْلِ خِلْقَتِهِ ولـم يـُخالِطْهُ شَيْءٌ يَصيرُ بِهِ مُقيَّداً.
المعاداة,العداء أو الخصومة تجاه شخص أو مجموعة، ويمكن أن يشمل المواقف والسلوكيات السلبية. [فقه]
الناس,جمع إنسان، ويشير إلى مجموعة من الأفراد ذات صفات مشتركة. [لغة]
تعلم مدى الحياة,عملية تعلم متواصل في مراحل الحياة جميعها، مما يُثري أداء الأفراد ويطور قدرتهم على التكيف المستمر. [علم النفس التربوي]
الخلع,الخلع هو إنهاء العلاقة الزوجية بمقابل مالي يُدفع من الزوجة [فقه]
قَوَاعِدُ المُتَغِيرَِّاتِ,قواعد تستخدم لتعريف المتغيرات وما يطرأ عليها في السياقات المختلفة [لغة]
أعشار القرآن,مصطلح في علوم القرآن يشير إلى تقسيم القرآن إلى عشرات، عادة ما يستخدم للدراسة والتلاوة. [علوم القرآن]
النداء,طلب الانتباه لشخص أو شيء ما [نحو]
أصول الفقه,هو علم يبحث في القواعد والأصول التي يستند إليها الفقهاء لاستنباط الأحكام الشرعية [فقه]
اللفظ,الكلمات المنطوقة أو المكتوبة والتي تحمل معنى معين [لغة].
آلية,مذهب فلسفي يرى أن العمليات الطبيعية، كالحياة، قابلة للتفسير بنواميس الفيزياء والكيمياء. [فلسفة]
فلسفة اللغة,فرع من فروع الفلسفة، يُعنى بدراسة خصائص اللغات الإنسانية. [فلسفة]
الحاكم,اسم أحد المحدثين، له تصانيف في علم الحديث، يُستخدم دوماً في علم مصطلح الحديث [فقه].
الآية,جملة من القرآن ذات مبدأ ومقطع، مدرجة في سورة من سور القرآن [قراءة].
التثقية,هي تطهير القلب من المشاعر السلبية كالغل والحقد، لتصبح القلوب نقية. [فقه]
الامتداد,الامتداد هو القدرة على الاستمرار في الزمن أو التمدد عبر فترة محددة، ويستخدم في سياق توضيح المدة الزمنية التي قد يستغرقها الفعل فيما يتعلق بقبول التقدير بالمدة. [فقه]
مال محرم,هو المال الذي قام الشرع بتحريمه، ويجب على المسلم اجتنابه [فقهي]
تَرْجَمَةٌ بالرُّسُومِ التَّوْضِيحِيَّةِ,صيغة من الترجمة تستخدم الرسوم لتوضيح المحتوى، وتستخدم في مجال [التواصل البصري].
الدلالة,كون الشيء بحيث يفيد الغير علماً [لغة]
المحسنات اللفظية,تقنيات لغوية تستخدم للزخرفة والتجميل في الكتابة، تشمل الجناس والتشابه اللفظي [لغة]
القدر,الاعتقاد الجازم بأن الله قد قدَّر مقادير الخلائق قبل خلقهم، ويتضمن أربع مراتب: العلم، الكتابة، المشيئة، والخلق. ينتمي إلى مجال العقيدة الإسلامية في موضوع [القضاء والقدر].
طِيبٌ,العِطْرُ وكُلُّ ما له رائِحَةٌ حَسَنَةٌ مُسْتَلَذَّةٌ.
نظرية بايز,نظرية في الاستدلال الإحصائي أو اتخاذ القرار، تُقْرَنُ فيها الاحتمالات بالأحداث بدلاً من قرنها بمتتالية الأحداث [إحصاء]
إرادة,صفة تتعلق بالمعدوم، حيث تتخصص في حصول الأمر وإيجاده، يُستخدم في سياق علم الكلام والفلسفة [فلسفة]
مُبَرْهَنةُ لا يبنتز,نظرية في التحليل الرياضي تتعلق بالمشتقات والتكامل.
دوائر متماسَّة داخلية,هي دوائر تتقابل في نقطة واحدة فقط، وتستخدم في [الهندسة].
مرحلة حسية حركية,مرحلة مبكرة يمر بها الطفل منذ سن الولادة حتى نهاية السنتين الأوليين من العمر، وفيها يتعامل الطفل مع الأشياء في الزمان والمكان الآني، وليس على أساس تجريدي. [علم النفس التربوي]
الصَّبْط,درجة من درجات الحفظ، دون درجة التمام والإتقان التي يتصف بها راوي الحديث الصَّحِيْح، وهي صفة راوي الحديث الحَسَن. [فقهي]
مسطرة حاسبة,أداة تجرى بها العمليات الحسابية من ضرب وقسمة وإيجاد الجذر واللوغاريتم بصورة سريعة وتقريبية. [الرياضيات والفيزياء]
التقطيع/التجزئة,تشير إلى عملية تحديد المقاطع المكونة للكلمة أو العبارة، وهي جزء أساسي من دراسة اللغة. [لغة]
الْمُنْثَلةُ,التشويه بقطع الأعضاء للحي، أو للميت. ومنه التمثيل بالحيوان، والتمثيل بالقتيل. [الفقه]
كعب بن مالك -رضي الله عنه-,كعب بن مالك الأنصاري السلمي، شاعر رسول الله - صلى الله عليه وسلم- وصاحبه، وأحد الذين شهدوا العقبة، وأحد الثلاثة الذين تخلفوا عن غزوة تبوك، فتاب الله عليهم.
عقل,الملكة التي تمكّن الفرد من الإدراك والتفكير والتحليل [علم النفس]
الصحة,حالة من الرفاهية الجسدية والعقلية والاجتماعية، وغياب الأمراض [طب]
تيار القصر,زيادة في شدة التيار عن القيمة الطبيعية، والتي تحدث نتيجة لحصول دارة قصر بفعل عطل أو توصيل مقصود في الكهرباء [الكهرباء]
الخلق,فعل إنشأ العالم وكل ما فيه، يُعتبر أحد موضوعات العقيدة الأساسية في النصرانية يشمل إيمان الكاثوليك بأن الله خالق كل شيء [العقيدة النصرانية]
السجلات,الكتب التي تتضمن الأعمال والذنوب، وتستخدم كأدلة يوم القيامة. [فقه]
تعلم مفرط,سلوك يلجأ إليه متعلم اللغة، أو يفرضه عليه المعلم، أو تفرضه عليه أساليب التدريس؛ فيحفظ تراكيب وجملًا، ويُتقن نطقها كما ينطقها أهل اللغة؛ لاستعمالها في مواقف تواصلية معينة. [لغة]
المجمع المسكوني,مجمع كنسي يجمع الكنائس في اتحاد لتحقيق القرارات الروحية المشتركة [الدين]
التحليل العقدي,فرع من الرياضيات يهتم بدراسة الدوال العقدية، بما في ذلك خصائصها وعمليات الاشتقاق والتكامل المتعلقة بها [التحليل الرياضي]
العالم,كل ما هو موجود من مخلوقات وسماوات [علم الكونيات]
محفظة,علبة صغيرة تُستخدم لتعبئة الأدوية التي تؤخذ عن طريق الفم. [الكيمياء الصيدلانية]
لُغَةٌ هَجِيْنٌ مُوَسَّعَةٌ,مستوًى متقــدِّمٌ مــن لغــةٍ هَجــن، يمثِّــل مرحلَــةً مــن مراحِــل نموِّهــا، وبِدايَــةِ اســتِقرارِها؛ تمهيــدًا لتحَوِّلِهــا إلى لغــةٍ موَلَّــدة. [لغة]
القصص,أخبار القرآن الكريم عن أحوال الأمم الماضيه، والنبوات السابقة، والحوادث الواقعة. [علوم القرآن]
إشْرَافٌ/تَوْجِيهٌ,مصطلح تعليمي يُعنى بمراقبة الموجّه أو المشرف لأداء المعلم وتوجيهه وتقييمه. [تعليم]
شِبْهُ صَامِتٍ,يعني صوتاً لا يمكن أن يُعتبر حرفاً كاملاً، ويستخدم في مجال [لغة].
عدم انتظام,حالة من الانحراف عن الترتيب الطبيعي للذرات أو الأيونات في تركيب الكريستالات [علم المواد]
حَيزٌِّ/خَانَةٌ,المنطقة أو المساحة المخصصة لشيء معين في سياق معين. [لغة]
الكمية المشتقة,هي الكمية التي يتم الحصول عليها من العمليات الرياضية على الكميات الأساسية. [الميترولوجيا العلمية]
صغر,مصدر يدل على تضاؤل الشيء أو وصفه بالضعف [لغة]
التفويض,تسليم الأمر والمساواة والإهمال، وهو عقيدة يتبعها بعض العلماء في آيات الصفات، حيث يمروها دون تفسير معانيها، بينما التفويض الحق يتطلب معرفة المعنى الصحيح للآية. [أسماء الله وصفاته]
معادلة,تعبير رياضي يساوي بين تعبيرين، يتكون من متغيرات وثوابت. [الجبر]
الْعلم,هو المعرفة أو الفهم الدقيق لموضوع معين، ويعتبر ضَرُورِيّاً لأنه لا يمكن معرفة شيء بدون العلم. [علم]
الكالأعلام,كالجبال [لغة]
الباطن,الشيء الذي لا يظهر أو يُخفي عن الأنظار [لغة]
طريقة التغيرات,طريقة في الميكانيك الكمومي لإيجاد القيمة الدنيا للطاقة أو الحالة الأرضية، تعبر عن تقنيات البحث عن الحلول المثلى.
تَكْفِيرٌ,الـحُكْمُ على الـمُسْلِمِ بِالرِّدَّةِ.
محرم,هو الشهر الأول في التقويم الهجري، ويعتبر من الأشهر الحرم. [فقه]
أسفل,هو الجزء السفلي أو الجانب المعاكس للجزء العلوي [جغرافيا]
سيادة رقمية,مصطلح يُستعمل في مجال حوكمة الشابكة لوصف رغبة الحكومات في تطبيق مبادئ السيادة على تقانة المعلومات والاتصالات، وتطبيقاتها في مختلف مجالات الحياة داخل الحدود الوطنية التابعة لهذه الحكومات. [مجال الحوكمة]
التَّمْيِيزُ بينَ الإنْتَاج,مصطلح في البحث في تعليم اللغة وتعلمها، يُميز فيه بين الأنشطة الاتصالية أو العمليات والمراحل التي تتم لإنجاز المخرجات اللغوية، يتعلق بمجال [لغة].
ثلاثي أكسيد الفسفور,مركب كيميائي يحضر بفعل حرق الفسفور في الهواء أو الأكسجين، يتفاعل مع الماء لتكوين حمض الفسفوري [الكيمياء غير العضوية]
المجمع,الهيئة أو المؤسسة التي يجتمع فيها علماء أو مختصون لمناقشة موضوع معين. [غير محدد]
الإنسان,وصف لفرده بناءً على تسليم أن الإنسان قد يكون عين حقيقته أو زائداً على حقيقة ذات الموضوع [فلسفة]
أصل,الجزء الأساسي الذي تُبنى عليه الكلمة والذي يُعتبر ثابتا في تصريفاتها. [لغة]
المجاز,استخدام الكلمات أو العبارات في معانٍ غير دلالتها الأصلية نتيجة لعلاقة معينة [بلاغة]
المدرك,هو من لم يفته مع الإمام شيء من الركعات، ويستخدم في الفقه [فقه].
أُسْلُوبُ الاِسْتِنْطَاقِ,الطريقة المتبعة لجمع البيانات من المشاركين، يستخدم في سياق [لغة]
الماء,تحول الماء إلى الهواء. [علوم طبيعية]
المجسم,جسم ثلاثي الأبعاد له حجم وشكل، يُستخدم في الهندسة لوصف الأشكال الهندسية مثل الكرات والهرم والأسطوانة [رياضيات]
القرآن,النص المقدس في الإسلام الذي أنزل على النبي محمد (صلى الله عليه وسلم) [توحيد].
اللغويات الحاسوبية,مجال علمي يهتم بدراسة اللغات البشرية باستخدام تقنيات الحاسوب والبرمجيات [لغة]
الإيمان,الاعتقاد الجازم بوجود الله وما جاء به من رسالات [فقه]
الأفعال,مصادر تنتمي إلى دلالة على القيام بعمل أو حدث [لغة]
الإِسْتِثَاثَةُ,طلب الإنسان من غيره شغلَ ذمته بديْن. سواء كان هذا الدين، إجارة، أو ضمانَ متلف، أو عوضاً عن مبيع، أو قرضاً. [فقه]
الدِّينَةُ,سُمِّيَت بذلك؛ لأن الإِبِل كَانَتْ تُعْقَل، وتربط بِفِنَاءِ وَلِيٍّ الْمَقْتُول. [فقه]
السامَة,مصطلح يشير إلى مدى مطابقة الجمل لقواعد اللغة، وهو متعلق بمجال [لغة].
الإباحية,الإباحية هي الدعوة إلى الحرية المطلقة في التصرف والسلوك دون قيود دينية أو أخلاقية، ويعتبر في سياق [الأخلاق].
لام عاملة,هي اللام التي لها أثر إعرابي، وتدخل كحرف جر على الاسم أو الفعل [نحو].
تفاعل تعديل,عملية كيميائية يتم فيها دمج حمض وقاعدة معًا لتكوين ماء وملح، مما ينقل النظام إلى حالة توازن بالقرب من pH 7، وهي عملية هامة في [الكيمياء التحليلية].
لُغَةٌ مَضْبُوطَةٌ,لغة لها قواعد محددة وموضوعة لضبط الاستخدام، تستخدم في سياق [لغة]
النمو الحسّي الحركي,مرحلة في الطفولة المبكرة تسبق اكتساب اللغة، وفق تصنيف جان بياجيه يكتسب فيها الطفل المعلومات من البيئة. [علم النفس]
تمر,ثمار شجرة النخيل المجففة، تحتوي على سكريات عالية وتستخدم كغذاء [زراعة]
أدب,سلوك أو تصرف يتسم بالاحترام والأخلاق [لغة]
الدرهم,عملة نقدية تُفضّل لدفع الحاجة بدلاً من الدقيق أو الحب. [فقهي]
التفاضل اليسير,هو الاختلاف الطفيف في المقادير، ويستخدم في الفقه الإسلامي عند الحديث عن المعاملات.
مفهوم عام,يعني فكرة رئيسية تمثل الجوانب العامة لموضوع معين، ويستخدم في سياق [لغة]
تفاعل عكسي,هو التفاعل الكيميائي الذي يمكن أن يحدث في كلا الاتجاهين، بحيث يمكن للمنتجات أن تعود لتكوين المتفاعلات. يستخدم في [الكيمياء العضوية] و[الكيمياء التحليلية].
شفرة مقيّدة,نوع من أنواع اللغة يستخدم مفردات ودلالات وتراكيب محدودة للتواصل ضمن مجتمع معين، وتستخدم في الدراسات اللغوية [لغة].
اتجاهات الطلاب,الأنماط أو الميول التي تتبناها مجموعة من الطلاب تجاه موضوعات أو أساليب تعلم معين. [تعليم]
دلالة المطابقة,تفسير اللفظ بجميع مدلوله.
قياس شرعي,هو ما يجري في أحكام لا نص فيها، وحجة عامة الفقهاء والمتكلمين في حجية القياس [فقه]
الشم,عبارة عن قوة مرتبة في زائدتي مقدم الدماغ، من شأنها إدراك ما يتأدى إليها بتوسط الهواء من الروائح [علم الأحياء]
فوق السمعيات,مجال علمي يدرس الخصائص والتطبيقات المتعلقة بالأمواج الصوتية التي تتجاوز حدود السمع البشرية. [فيزياء الصوت]
مثلث پیروز,مثلث مشهور بخصائصه الفريدة والمستخدمة في الحسابات الرياضية [رياضيات]
الناصبة,جمع ناصية، وهي مقدّم الرأس، وشعر مقدّم الرأس إذا طال. [لغة]
عهد,عهد: اتفاق أو تعهد يتم بين طرفين، غالباً ما يستخدم للدلالة على الالتزامات أو العلاقات. [فقه]
القوة,صفة تمكّن الحيوان من أفعال شاقة [علم الأحياء]
يجب,يجب أن يدفن من قلم أظافيره أو جز شعره [فقه]
الروح,جوهر الإنسان الروحي الذي يميز شخصيته [علوم دينية]
منصف,خطّ أو مستوي قسم الشكل الهندسي إلى قسمين متساويين [الهندسة]
الحقيقة,في اللغة: تعني الشيء الواقعي أو الصواب.
كيلا يكون دولة بين الأغنياء,كي لا يتداوله الأغنياء بينهم. [لغة]
صيغة شبه الموشور,في الهندسة، هو تعبير رياضي يصف حساب حجم شبه موشور باستخدام معطيات كالمساحات والارتفاع.
السكرا,حالة فقدان الوعي بسبب شرب الخمر، يُستخدم أحيانًا لوصف الشخص الذي في عدم وعي [لغة]
عميل استحلاب,عميل استحلاب هو مادة فعالة سطحياً تدعم نشوء المستحلب وثباته، مثل البيض أو المنظفات الصناعية [الكيمياء العضوية]
الأصل,الجذر أو المصدر الذي ينشأ منه شيء ما. [لغة]
فحشاء,كل ما يُشير إلى الزنا، إلا في سياقات معينة [فقه]
التمني,التمني هو رغبة في حصول شيء ما، يُعبر عنه بكلمات مثل هلًا، ألا، ولـوما، ويستخدم في [لغة] و[نحو] للدلالة على الرغبة دون التأكيد على حدوث الأمر.
سِلْسِلَةٌ,مجموعة من الأجزاء المرتبطة أو المتتالية، يستخدم في السياقات اللغوية لتشكيل الجمل. [لغة]
أخفض تردد,أخفض تردد يجري توليده من قبل شيء ما بالمقارنة بالمدروحات التي تردداتُها أعلى.
تَنَوُّعَاتٌ لَهَجِيِّةٌ,اختلافات بن لهجة وأخرى ضمن اللغة الواحدة، وذلك في نطق الأصوات، أو في الإماء، أو في التهجئة، أو في صيغ المفردات أو في استعمالاتها، أو في التراكيب. [لغة]
سرعة آنية,سرعة الجسم في لحظة معينة، تُستخدم في [الميكانيكا].
فصاحة,وضوح الكلام على مستوى الكلمة؛ بخلوّه من تن ومخالفة القياس، والكراهة في السمع [لغة]
تصحيفٌ مكانيِ,خطأ لغوي يتمثل في تبديل حروف في الكلمات، يستخدم في دراسات اللسانيات [لغة]
المُحَمَّدِيَّة,من فرق الرافضة الغلاة الذين ينتظرون محمد بن عبد الله بن الحسن ويزعمون أنه لم يمت، وأنه يقيم في جبل حاجز من ناحية نجد. [عقيدة]
الشفافية,وضوح الأفكار والقرارات والإجراءات [لغة]
خَاصَّةٌ دَلالِيَّةٌ semantic property,سِمةٌ مشتركَةٌ بين معاني عددٍ من الكلمات، وهي مُرادفَةٌ للمعلَّمِ الدَّلاليِّ أو السِّمةِ الدَّلاليَّة. [لغة]
اتصال,الارتباط أو العلاقة بين شيئين أو أكثر. [لغة]
بِنَاءُ الْخَاص عَلَى الْعَام,أن يجعل العام غير متناول للخاص. وهذا نفسه حمل العام على الخاص، وهو تخصيص العام به. [فقه]
دالة متناظرة,هي دالة تظل دون تغيير عند إجراء تبديل بين متغيراتها، [رياضيات]
التَرجَمَة,عملية نقل النصوص والمعلومات من لغة إلى أخرى مع الحفاظ على المعنى والسياق [لغة]
البلاغم,شيء كالْمُخاط الغليظ يخرج من أنف الإنسان، أو صدره عند التنحنح، ومثاله تعدد أقوال الفقهاء في كون البلغم مفطراً للصائم [فقه]
متجه قاعدي,هو أي عنصر من مجموعة متجهات مستقلة خطيا في فضاء متجهي، حيث أن كل متجه في الفضاء هو تركيب خطي لمتجهات هذه المجموعة [رياضيات]
خوارزمية تعلُّم اآللة,..خوارزمية تنشئ نماذج تعلُّم اآللة باستخدام بيانات التدريب
بحوث الرأي العام,بحوث تهدف إلى الحصول على النمط الشائع لتوجهات الرأي العام في النواحي الاجتماعية والسياسية والاقتصادية حول موضوع ما، ويُستخدم فيه عادة تقنية الاستبانة أو المقابلة [علم النفس الاجتماعي]
الأحكام الشرعية,القواعد والأنظمة التي تحدد الواجبات والمحرمات في الإسلام [فقه]
الشقاوة,هي الشر المطلق الذي يناله العبد في علم الحق تعالى من باب الجزاء [فقه]
الْقُوَّة الباعثة,هي القوة التي تحفز الحركة، وتمثل النوع الأول من القوى المحركة. [علم الحركة]
فاسق,الشخص الذي يخرج عن طاعة الله ويقوم بمخالفة الأوامر الشرعية.
المعنى البعيد,المعنى غير الظاهر أو المستتر الذي يُستنبط من خلال السياق أو الدلالات. [لغة]
الطاعة,الامتثال لما يأمر به الله أو الالتزام بأحكامه. [فقه]
انكسار,حدث تغيّر مسار الضوء عند عبوره من وسط إلى آخر، مما يؤثر على سلوك الضوء. [الكيمياء الفيزيائية]
سرعة الضوء,السرعة التي تنتشر بها الأمواج الكهرطيسية في وسط ما، وسرعة الضوء في الخلاء هي ثابتة فيزيائية وتساوي 299792.458 km/s [البصريات والضوئيات]
ثابتة,عبارة تعني عدم التغير أو الاستقرار في سياق معين. [فكري]
بَذْرٌ,تَفْرِيْقُ الحَبِّ في الأَرْضِ لِزِراعَتِهِ.
البسار,قاموس قديم يرمز إلى الشرف والمقام الرفيع، وأيضًا تشير إلى التجمل والمظهر الجذاب [لغة]
الصواب,يُشير إلى الرأي الصحيح أو الحكم الدقيق في مسألة ما. [فقه]
مُبَرْهَنةُ هاينه-بوريل,مبَرْهَنة تُثبت أن مجموعة جزئية محدودة ومغلقة في فضاء إقليدي تكون متراصة [التحليل]
الولد الحرام,الطفل المولود نتيجة زواج غير شرعي، ويستخدم في السياق الفقهي للإشارة إلى الغير شرعية المتعلقة بالأنساب.
منساخ,هو جهاز يُستخدم لنقل الحركة بشكل متوازي، ويستخدم في التطبيقات الهندسية [الميكانيكا التطبيقية].
آلة درفلة,"آلة تستخدم لتقليل سمك المواد عن طريق ضغطها بين أسطوانتين, تُستخدم بشكل شائع في صناعة الحديد والصلب [الميكانيكا التطبيقية]"
العته,تدهور عقلي يمنع الشخص من التصرف بشكل سليم ويؤثر على قدراته العقلية [طب]
النفس اللوامة,هي النفس التي تنورت بنور القلب وقد شبهت عن الغفلة وتقيم اللوم على أصحاب السيئات. [علم النفس]
أم,تستخدم كحرف عطف يدل على التفصيل أو المقارنة، مثل 'أم يظنون أن...؟' [منطق].
الإفراز,عملية توزيع أو تقسيم الشيء بين عدة أشخاص أو جهات، وتستخدم في مجال [فقه المواريث]
المتعة,عِلّة غائية لملك الرَّقَبَة، تشير إلى نوع من الملكية في السياق الفقهي [فقه]
